loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,IP_en0,IP_pdp_ip0,deviceOrientation,state
2016-09-12 11:12:06.642,1,6B5B5B79-A063-42A5-9845-86B7C35C751C,1473671526.556717,51.03077838609382,13.72952415748742,132.1004,-1,-1,15.84414004235132,65,-9999,1473671526.601331,-22.15826416015625,-45.11131286621094,2.879203796386719,107.990608215332,104.3704528808594,15,260886.0241580417,-0.0232391357421875,-0.9856719970703125,-0.137908935546875,260886.013824875,-0.202530737739436,-0.1112005576323676,0.02904763064171227,,,,,,,,,,,,,,,,,,,,,,,260882.930858,unknown,2,2016-09-12 11:12:03.515,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.643,2,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,,,,,,,,260886.0437500417,-0.028228759765625,-0.977203369140625,-0.0731964111328125,260886.033813875,0.137294476309073,-0.03284769520114633,0.009030512940349688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.657,3,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,1473671526.646463,-21.77996826171875,-44.88932800292969,2.281669616699219,108.1438827514648,104.5237274169922,15,260886.0633730417,-0.0255889892578125,-0.9799041748046875,-0.050140380859375,260886.053802875,0.1984236107063158,0.06320000846088841,-0.04921681484131837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.676,4,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,,,,,,,,260886.0829950417,-0.0025787353515625,-0.9973297119140625,-0.0478057861328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.705,5,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,1473671526.677939,-21.85385131835938,-44.6627197265625,2.803886413574219,108.1576766967773,104.5375213623047,15,260886.1026180417,0.006072998046875,-0.99884033203125,-0.05029296875,260886.093811875,0.0556137277796887,-0.08636604783516069,-0.03221519444225251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.715,6,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,,,,,,,,260886.1222410417,0.000640869140625,-1.006912231445312,-0.014251708984375,260886.113830875,-0.05113908451613756,-0.1836941993493055,0.004221376643884601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.734,7,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,1473671526.721496,-22.60639953613281,-44.88417053222656,3.022117614746094,108.5000076293945,104.8798522949219,15,260886.1418330417,-0.00750732421875,-0.993316650390625,-0.03399658203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.754,8,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,1473671526.751438,-21.70585632324219,-44.88850402832031,2.732505798339844,108.5915908813477,104.971435546875,15,260886.1614560417,0.01416015625,-1.015777587890625,-0.0287017822265625,260886.153839875,0.07147285207111057,-0.02461320111062133,-0.01728844284846739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.773,9,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,,,,,,,,260886.1810790417,0.0250091552734375,-1.009628295898438,-0.02447509765625,260886.173828875,0.03072542212846219,-0.01997184396283123,0.0206429605575312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
2016-09-12 11:12:06.793,10,6B5B5B79-A063-42A5-9845-86B7C35C751C,,,,,,,,,,,,,,,,,260886.2007020417,0.01007080078125,-1.000030517578125,-0.02984619140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168.137.203,10.56.9.191,1,0
